slice_idx,circle_idx,is_articular,x_mm,y_mm,z_mm
8,0,0,-109.7148,-51.9104,21.5603
8,0,0,-110.8747,-50.8782,22.4055
8,0,0,-111.4837,-50.9164,22.5407
8,0,0,-112.0636,-50.4003,22.9633
8,0,0,-112.6726,-50.4385,23.0985
8,0,0,-113.8325,-49.4062,23.9437
8,0,0,-113.8034,-48.8519,24.2310
8,0,0,-114.3833,-48.3358,24.6535
8,0,0,-114.3543,-47.7816,24.9408
8,0,0,-113.7162,-47.1891,25.0929
8,0,0,-114.2962,-46.6730,25.5155
8,0,0,-114.2671,-46.1187,25.8028
8,0,0,-117.0796,-41.8753,28.7775
8,0,0,-116.8762,-37.9953,30.7887
8,0,0,-117.4561,-37.4792,31.2112
8,0,0,-117.4270,-36.9249,31.4985
8,0,0,-118.0070,-36.4088,31.9211
8,0,0,-117.9198,-34.7459,32.7830
8,0,0,-116.0056,-32.9685,33.2392
8,0,0,-115.9184,-31.3057,34.1011
8,0,0,-115.2804,-30.7132,34.2532
8,0,0,-115.2513,-30.1589,34.5405
8,0,0,-113.9752,-28.9740,34.8446
8,0,0,-113.9462,-28.4197,35.1319
8,0,0,-110.7559,-25.4574,35.8922
8,0,0,-110.1469,-25.4192,35.7570
8,0,0,-109.5088,-24.8268,35.9090
8,0,0,-108.8998,-24.7886,35.7738
8,0,0,-108.2618,-24.1961,35.9258
8,0,0,-107.6528,-24.1579,35.7906
8,0,0,-107.0147,-23.5655,35.9426
8,0,0,-105.7967,-23.4891,35.6721
8,0,0,-105.1587,-22.8966,35.8242
8,0,0,-103.9407,-22.8203,35.5537
8,0,0,-103.3026,-22.2278,35.7058
8,0,0,-100.2577,-22.0369,35.0295
8,0,0,-99.6777,-22.5530,34.6069
8,0,0,-98.4597,-22.4767,34.3364
8,0,0,-97.8798,-22.9928,33.9139
8,0,0,-97.2708,-22.9546,33.7786
8,0,0,-96.6909,-23.4707,33.3561
8,0,0,-96.0819,-23.4326,33.2208
8,0,0,-95.5020,-23.9487,32.7982
8,0,0,-94.8930,-23.9105,32.6630
8,0,0,-93.1532,-25.4588,31.3953
8,0,0,-92.5442,-25.4206,31.2601
8,0,0,-91.9642,-25.9367,30.8375
8,0,0,-91.3552,-25.8986,30.7022
8,0,0,-88.4556,-28.4791,28.5894
8,0,0,-88.4846,-29.0334,28.3021
8,0,0,-87.9047,-29.5495,27.8796
8,0,0,-87.9338,-30.1038,27.5922
8,0,0,-87.3538,-30.6199,27.1697
8,0,0,-87.3829,-31.1742,26.8824
8,0,0,-86.2230,-32.2064,26.0373
8,0,0,-86.2811,-33.3150,25.4626
8,0,0,-85.7012,-33.8311,25.0401
8,0,0,-85.9627,-38.8197,22.4543
8,0,0,-86.6008,-39.4121,22.3022
8,0,0,-86.6589,-40.5207,21.7276
8,0,0,-87.2970,-41.1132,21.5755
8,0,0,-87.3842,-42.7760,20.7136
8,0,0,-88.0222,-43.3685,20.5616
8,0,0,-88.0513,-43.9228,20.2742
8,0,0,-89.3274,-45.1077,19.9701
8,0,0,-89.9364,-45.1459,20.1054
8,0,0,-91.8505,-46.9233,19.6492
8,0,0,-93.0685,-46.9996,19.9197
8,0,0,-93.7066,-47.5921,19.7677
8,0,0,-94.3156,-47.6303,19.9029
8,0,0,-97.4477,-49.4840,19.7172
8,0,0,-98.0567,-49.5222,19.8525
8,0,0,-99.3328,-50.7071,19.5484
8,0,0,-102.9868,-50.9362,20.3599
8,0,0,-103.5667,-50.4201,20.7824
8,0,0,-104.2048,-51.0125,20.6304
8,0,0,-104.7847,-50.4964,21.0529
8,0,0,-105.4228,-51.0889,20.9009
8,0,0,-108.4678,-51.2798,21.5771
8,0,0,-109.1058,-51.8722,21.4251
9,0,0,-104.4380,-51.6802,16.5036
9,0,0,-110.4117,-49.8448,19.0054
9,0,0,-111.0207,-49.8830,19.1406
9,0,0,-112.2968,-51.0679,18.8365
9,0,0,-113.5148,-51.1443,19.1070
9,0,0,-114.0948,-50.6282,19.5296
9,0,0,-120.9668,-42.7720,25.4622
9,0,0,-120.3287,-42.1796,25.6143
9,0,0,-120.2997,-41.6253,25.9016
9,0,0,-120.8796,-41.1092,26.3242
9,0,0,-120.8506,-40.5549,26.6115
9,0,0,-120.2125,-39.9624,26.7635
9,0,0,-120.7924,-39.4463,27.1861
9,0,0,-120.7634,-38.8920,27.4734
9,0,0,-120.1253,-38.2996,27.6255
9,0,0,-119.9510,-34.9738,29.3493
9,0,0,-119.3129,-34.3814,29.5014
9,0,0,-119.2838,-33.8271,29.7887
9,0,0,-118.6458,-33.2346,29.9407
9,0,0,-118.4714,-29.9089,31.6646
9,0,0,-114.6431,-26.3541,32.5770
9,0,0,-114.6140,-25.7998,32.8643
9,0,0,-112.0618,-23.4300,33.4725
9,0,0,-111.4528,-23.3918,33.3372
9,0,0,-110.1767,-22.2069,33.6414
9,0,0,-109.5677,-22.1687,33.5061
9,0,0,-108.9297,-21.5762,33.6582
9,0,0,-107.7117,-21.4999,33.3877
9,0,0,-107.0736,-20.9074,33.5397
9,0,0,-103.4196,-20.6784,32.7282
9,0,0,-102.7816,-20.0859,32.8803
9,0,0,-102.1726,-20.0477,32.7450
9,0,0,-101.5927,-20.5638,32.3225
9,0,0,-98.5477,-20.3729,31.6462
9,0,0,-97.9678,-20.8890,31.2236
9,0,0,-96.1408,-20.7745,30.8179
9,0,0,-95.5608,-21.2906,30.3953
9,0,0,-94.9518,-21.2524,30.2601
9,0,0,-94.3719,-21.7685,29.8375
9,0,0,-93.7629,-21.7304,29.7022
9,0,0,-93.1830,-22.2465,29.2797
9,0,0,-92.5740,-22.2083,29.1444
9,0,0,-91.9941,-22.7244,28.7219
9,0,0,-91.3851,-22.6862,28.5866
9,0,0,-88.4854,-25.2668,26.4738
9,0,0,-88.5145,-25.8211,26.1865
9,0,0,-86.7747,-27.3694,24.9188
9,0,0,-86.8037,-27.9237,24.6315
9,0,0,-85.6438,-28.9559,23.7864
9,0,0,-85.7020,-30.0645,23.2118
9,0,0,-85.1220,-30.5806,22.7892
9,0,0,-85.4417,-36.6777,19.6288
9,0,0,-86.0798,-37.2702,19.4767
9,0,0,-86.1669,-38.9330,18.6148
9,0,0,-86.8050,-39.5255,18.4627
9,0,0,-86.8631,-40.6341,17.8881
9,0,0,-87.5012,-41.2265,17.7361
9,0,0,-87.5302,-41.7808,17.4488
9,0,0,-88.8063,-42.9658,17.1446
9,0,0,-88.8354,-43.5200,16.8573
9,0,0,-90.7496,-45.2974,16.4012
9,0,0,-90.7786,-45.8517,16.1138
9,0,0,-92.6928,-47.6291,15.6577
9,0,0,-93.9108,-47.7055,15.9282
9,0,0,-95.8249,-49.4829,15.4720
9,0,0,-96.4339,-49.5210,15.6072
9,0,0,-97.0720,-50.1135,15.4552
9,0,0,-100.1170,-50.3044,16.1315
9,0,0,-100.7550,-50.8969,15.9794
9,0,0,-101.3350,-50.3807,16.4020
9,0,0,-101.9730,-50.9732,16.2499
9,0,0,-102.5529,-50.4571,16.6725
9,0,0,-103.8290,-51.6420,16.3683
10,0,1,-110.6159,-49.9581,15.1659
10,0,1,-111.1959,-49.4420,15.5885
10,0,1,-115.4588,-49.7093,16.5352
10,0,1,-116.0388,-49.1931,16.9578
10,0,1,-122.2727,-40.7445,23.0425
10,0,1,-122.8527,-40.2284,23.4651
10,0,1,-122.6783,-36.9027,25.1889
10,0,1,-122.0402,-36.3102,25.3410
10,0,1,-121.9531,-34.6474,26.2029
